gridid,glat,glon,gpop,vmax_gust,vmax_sust,sust_duration
13255,  33.2581, -84.2733,  64073,  0.00000,  0.00000,    0
13257,  34.5569, -83.2887,  26175,  0.00000,  0.00000,    0
13259,  32.0693, -84.7645,   6058,  0.00000,  0.00000,    0
13261,  32.0600, -84.2218,  32819,  0.00000,  0.00000,    0
13263,  32.7031, -84.5821,   6865,  0.00000,  0.00000,    0
13265,  33.5688, -82.8857,   1717,  0.00000,  0.00000,    0
13267,  32.0439, -82.0522,  25520, 26.05950, 17.48960,  120
13269,  32.5605, -84.2151,   8906,  0.00000,  0.00000,    0
13271,  32.0156, -82.8925,  16500,  0.00000,  0.00000,    0
13273,  31.7722, -84.4289,   9315,  0.00000,  0.00000,    0
13275,  30.8690, -83.9484,  44720,  0.00000,  0.00000,    0
13277,  31.4544, -83.5150,  40118,  0.00000,  0.00000,    0
13279,  32.1839, -82.3670,  27223, 26.05950, 17.48960,   15
13281,  34.9387, -83.7830,  10471,  0.00000,  0.00000,    0
13283,  32.3870, -82.5897,   6885,  0.00000,  0.00000,    0
13285,  33.0367, -85.0317,  67044,  0.00000,  0.00000,    0
13287,  31.7008, -83.6369,   8930,  0.00000,  0.00000,    0
13289,  32.7037, -83.4163,   9023,  0.00000,  0.00000,    0
13291,  34.8742, -84.0023,  21356,  0.00000,  0.00000,    0
13293,  32.9075, -84.3244,  27153,  0.00000,  0.00000,    0
13295,  34.8365, -85.2934,  68756,  0.00000,  0.00000,    0
13297,  33.7954, -83.7843,  83768,  0.00000,  0.00000,    0
13299,  31.2268, -82.3839,  36312, 26.05950, 17.48960,  225
13301,  33.4076, -82.6628,   5834,  0.00000,  0.00000,    0
13303,  32.9620, -82.7734,  21187,  0.00000,  0.00000,    0
13305,  31.6119, -81.9191,  30099, 26.05950, 17.48960,  240
13307,  32.0493, -84.5607,   2799,  0.00000,  0.00000,    0
13309,  32.1466, -82.7513,   7421,  0.00000,  0.00000,    0
13311,  34.6010, -83.7443,  27144,  0.00000,  0.00000,    0
13313,  34.7927, -84.9657, 102599,  0.00000,  0.00000,    0
13315,  31.9752, -83.4056,   9255,  0.00000,  0.00000,    0
13317,  33.7554, -82.7535,  10593,  0.00000,  0.00000,    0
13319,  32.8443, -83.2395,   9563,  0.00000,  0.00000,    0
13321,  31.5357, -83.8612,  21679,  0.00000,  0.00000,    0
17001,  39.9438, -91.3289,  67103,  0.00000,  0.00000,    0
17003,  37.1493, -89.2897,   8238,  0.00000,  0.00000,    0
17005,  38.8846, -89.4328,  17768,  0.00000,  0.00000,    0
17007,  42.2940, -88.8520,  54165,  0.00000,  0.00000,    0
17009,  39.9648, -90.7465,   6937,  0.00000,  0.00000,    0
17011,  41.3830, -89.4238,  34978,  0.00000,  0.00000,    0
17013,  39.1235, -90.6380,   5089,  0.00000,  0.00000,    0
17015,  42.0719, -89.9633,  15387,  0.00000,  0.00000,    0
17017,  39.9799, -90.3192,  13642,  0.00000,  0.00000,    0
17019,  40.1281, -88.2331, 201081,  0.00000,  0.00000,    0
17021,  39.5253, -89.2546,  34800,  0.00000,  0.00000,    0
17023,  39.3510, -87.8002,  16335,  0.00000,  0.00000,    0
17025,  38.7161, -88.4901,  13815,  0.00000,  0.00000,    0
17027,  38.5878, -89.4721,  37762,  0.00000,  0.00000,    0
17029,  39.4873, -88.2583,  53873,  0.00000,  0.00000,    0
17031,  41.8659, -87.7577,5194675,  0.00000,  0.00000,    0
17033,  39.0057, -87.7480,  19817,  0.00000,  0.00000,    0
17035,  39.2760, -88.2809,  11048,  0.00000,  0.00000,    0
17037,  41.9272, -88.7295, 105160,  0.00000,  0.00000,    0
17039,  40.1717, -88.9089,  16561,  0.00000,  0.00000,    0
17041,  39.7668, -88.2798,  19980,  0.00000,  0.00000,    0
17043,  41.8498, -88.0716, 916924,  0.00000,  0.00000,    0
